== Process Snapshot @ 2025-12-05T22:20:10+00:00 ==
# User: nicolau  Host: Discipline

## Top 10 processes by CPU
    PID COMMAND         %CPU %MEM
    501 node             1.3  0.8
    453 node             0.2  0.7
      1 systemd          0.0  0.0
    512 node             0.0  0.3
     99 systemd-udevd    0.0  0.0
    475 node             0.0  0.3
    466 node             0.0  0.3
     53 systemd-journal  0.0  0.1
    324 systemd          0.0  0.0
    190 unattended-upgr  0.0  0.1

## Top 10 processes by MEM
    PID COMMAND         %CPU %MEM
    501 node             1.3  0.8
    453 node             0.2  0.7
    512 node             0.0  0.3
    466 node             0.0  0.3
    475 node             0.0  0.3
    190 unattended-upgr  0.0  0.1
     53 systemd-journal  0.0  0.1
    114 systemd-resolve  0.0  0.0
    167 wsl-pro-service  0.0  0.0
      1 systemd          0.0  0.0
